ID_ESCOLA,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_ALUNO,TX_RESP_BLOCO_2_MT,ESTRATO_ANEB,PESO_ALUNO_LP,'RESULTADO IDEB',CONDICAO
27044289,1,604387,1,17847781,BABDCDBCAACBB,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847782,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847783,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847784,DBBABBAABBDCA,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847785,CAADACCDCDAAC,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847786,DDBAACAAACDCD,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847787,ABDDCDCDBCCBC,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847788,BAACCDABAAACA,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847789,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847790,BBABBBDDBBBCC,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847791,ABDCDBABCACAC,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847792,CCCDBCCCAABAA,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847793,CBBDBBDDBBABC,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847794,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847795,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847796,CADBBDBCDDDBD,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847797,BDAADCCDDDBCB,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847798,BAADDCCCCAADD,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847799,DBBAACBDBCACB,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847800,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847801,CBBCBAAAABBCA,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847802,BDCAABDDBDABC,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847803,DCACBCBBDABDC,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847804,BACCADAAAADBC,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847805,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847806,AAADACBACBCDA,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847807,DDDABCBDCDBCA,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847808,AAAACBDDBDDDC,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847809,CCCDCABACACDA,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847810,BCCABCCDABBBB,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847811,CABCBABCDCCCB,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847812,C*BDBBCDBCDCC,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847813,ABBCDDACCBCAA,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847814,DBABACCDACDAA,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847815,BCBBABACCDCBA,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847816,AABDBCBACDBCC,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847817,BBCDBDCDDADBB,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847818,DCCABCAABCABA,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847819,DDBCACBACA*BB,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847820,CCBCDCACBBADB,270915231,1.156.250.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604388,2,17847821,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
