ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_ALUNO,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_LP,PESO_ALUNO_MT,PROFICIENCIA_LP,DESVIO_PADRAO_LP,PROFICIENCIA_LP_SAEB,DESVIO_PADRAO_LP_SAEB,TX_RESP_Q004,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q011,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q037,TX_RESP_Q043,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,'CLASSIFICADOR IDEB'
27036065,3,1,603818,17829411,BCBDDCDDADD,CADDADDDDAB,BAACCCDDACB,ACCACDDBCCC,1,270430231,1.069.478.494,1.069.478.494,-1.248.125,0.351974,181.221.587,19.391.431,C,C,C,B,A,A,A,A,B,B,A,A,A,B,'ACIMA DA M?DIA '
27036065,3,1,603818,17829412,CBBADDBACAA,BBDCCDABDDA,DCACCAABCBC,BCCCADDBDBB,1,270430231,1.069.478.494,1.069.478.494,-1.317.245,0.345356,177.413.533,19.026.823,D,B,C,B,A,B,A,A,B,C,A,A,A,B,'ACIMA DA M?DIA '
27036065,3,1,603818,17829413,DCADDDDDCDC,DCDCDDBAABC,ACACBCDACBD,CDACBDDDACA,1,270430231,1.069.478.494,1.069.478.494,-1.326.266,0.36078,176.916.536,19.876.583,C,B,B,C,B,B,?,?,?,?,?,?,?,?,'ACIMA DA M?DIA '
27036065,3,1,603818,17829414,BADCDCACAAA,DBCCBADBBDB,DADBCDADACB,DAAAAAAAADD,1,270430231,1.069.478.494,1.069.478.494,-0.333254,0.35687,231.624.906,19.661.168,C,C,C,B,B,B,A,A,B,A,A,A,A,A,'ACIMA DA M?DIA '
27036065,3,1,603818,17829415,ADCDCCAACBA,BCADDCBCBBA,AACBAACBAAA,DDCCCDCDACA,1,270430231,1.069.478.494,1.069.478.494,-1.034.136,0.320616,19.301.096,17.663.814,C,B,?,B,B,B,A,A,B,C,A,A,A,A,'ACIMA DA M?DIA '
27036065,3,1,603818,17829416,DBBACDDBBCB,DCDDCBAADCA,DCCABCCCDDD,CDCBADDABBA,1,270430231,1.069.478.494,1.069.478.494,-0.066532,0.388256,246.319.518,21.390.329,C,B,B,B,B,A,A,A,?,C,A,A,A,A,'ACIMA DA M?DIA '
27036065,3,1,603818,17829417,BCDADDAADDC,DCCCBDBABCB,CDCDCADDACA,CCDABABABBB,1,270430231,1.069.478.494,1.069.478.494,-1.154.056,0.326518,186.404.164,17.988.975,C,B,A,C,A,A,A,A,C,B,B,A,B,B,'ACIMA DA M?DIA '
27036065,3,1,603818,17829419,BCDDCBCDDCA,BDDCDAACBBD,ADABAACCBBA,BAABCDDDDAB,1,270430231,1.069.478.494,1.069.478.494,0.459195,0.371024,275.283.587,2.044.096,E,B,B,B,B,B,A,A,B,C,A,A,A,B,'ACIMA DA M?DIA '
27036065,3,1,603818,17829420,CBBBCDAADCA,CBACADBAADA,DCABCDABBDB,ACABABBABCA,1,270430231,1.069.478.494,1.069.478.494,-1.707.075,0.424914,155.936.488,23.409.941,C,B,B,B,B,?,A,A,B,B,A,A,A,B,'ACIMA DA M?DIA '
27036065,3,1,603818,17829421,DBDCCBDAD*B,ACADABADADA,ACDBCCCCDDD,CCCBADCCCBD,1,270430231,1.069.478.494,1.069.478.494,-0.89336,0.327295,200.766.783,18.031.782,C,B,B,B,A,B,A,A,?,B,A,B,A,B,'ACIMA DA M?DIA '
