ID_ESCOLA,ID_LOCALIZACAO,ID_ALUNO,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,ESTRATO_ANEB,PESO_ALUNO_MT,PROFICIENCIA_MT,DESVIO_PADRAO_MT,PROFICIENCIA_MT_SAEB,DESVIO_PADRAO_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q005,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q012,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q038,TX_RESP_Q044,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,'CLASSIFICADOR IDEB'
27036065,1,17829389,DCCDCBCACCA,ACCDABACBDC,AAABADDBBCA,ACBCABDACCC,270430231,1.109.088.809,-0.08948,0.313643,244.963.135,17.530.237,1,D,C,B,A,A,B,A,A,B,C,B,A,A,'ACIMA DA M?DIA '
27036065,1,17829390,CBDDCDAACDB,DBBBADCBDDA,BDAAABDBCBC,ABBABABCACD,270430231,1.109.088.809,-0.446727,0.342721,224.995.769,19.155.475,1,D,B,B,A,A,A,A,A,B,C,A,A,B,'ACIMA DA M?DIA '
27036065,1,17829391,DBBACBBBBCC,ABDBBBACBBC,CBBADABCBAD,CADDBCBDAAC,270430231,1.109.088.809,-0.947814,0.401873,19.698.885,22.461.617,1,A,E,B,A,B,B,A,A,A,A,A,A,A,'ACIMA DA M?DIA '
27036065,1,17829392,BDDCDCACDBB,BDCCDDCADBD,ACABBDDDDCB,BAACBDDCBDB,270430231,1.109.088.809,0.52038,0.391037,279.049.631,21.855.968,1,E,D,B,B,B,B,B,A,A,C,A,A,B,'ACIMA DA M?DIA '
27036065,1,17829393,CBDACBBADCB,ACDDABBDBDC,DBCBBCBCBDD,ACCCCCDCCBC,270430231,1.109.088.809,-0.635379,0.379557,21.445.157,21.214.324,1,B,A,B,B,A,B,A,A,A,B,A,A,C,'ACIMA DA M?DIA '
27036065,1,17829394,CCDABCBABCC,BBDCDAAABDA,BDBBCDABCBB,CAADABDCCDC,270430231,1.109.088.809,-117.703,0.449922,184.177.434,25.147.188,1,C,B,B,B,A,A,A,A,C,C,A,B,A,'ACIMA DA M?DIA '
27036065,1,17829395,CBACDDDACAB,DACACDDDDDB,ABDCCBDDCCB,ACBCCBBBADB,270430231,1.109.088.809,-1.907.639,0.486258,143.341.996,27.178.092,1,E,?,B,?,B,A,A,A,?,C,A,A,A,'ACIMA DA M?DIA '
27036065,1,17829396,CCCCBBDBBAA,DBCACDCBDCB,DABBCAACADC,DBDACACCBBD,270430231,1.109.088.809,0.109302,0.326535,256.073.524,18.250.801,1,B,B,B,A,A,C,A,A,B,A,A,A,A,'ACIMA DA M?DIA '
27036065,1,17829398,BCDDCBADADA,BBCBBBADBBD,CAABADCCADD,CBBCAACCBDA,270430231,1.109.088.809,0.139372,0.346534,257.754.207,19.368.592,1,B,B,B,B,A,A,A,A,B,C,A,A,B,'ACIMA DA M?DIA '
27036065,1,17829399,CCDDCDADADB,CCAABACABBD,CCACDBDACCC,DDBBDCCBBBA,270430231,1.109.088.809,-0.713767,0.42301,210.070.282,23.643.014,1,?,C,B,B,A,C,A,A,B,B,A,A,A,'ACIMA DA M?DIA '
