@relation 'ALUNO ORD TOTAL. IDEB-EXCLUIDOS ALUNOS S RESP APSOCIOestevam'

@attribute TX_RESP_Q001 {A,B}
A,B,K,C,C,B,B,B,A,A,B,A,A,B,C,D,A,A,C,A,A,A,A,A,A,B,A,A,A,A,A,C,B,C,B,B,C,C,B,A,B,A,A,A,A,A,B,A,B,A,A,'ABAIXO DA M�DIA'
B,B,B,C,C,A,B,B,A,B,A,A,A,B,C,E,A,A,B,A,A,C,G,A,A,C,A,A,A,A,A,C,B,C,B,B,C,C,C,B,A,B,B,A,A,A,A,A,A,A,C,'ABAIXO DA M�DIA'
A,B,K,C,B,B,B,B,A,A,A,A,A,C,C,D,A,A,G,A,A,A,G,B,B,C,A,A,A,A,A,B,A,C,A,B,C,C,B,C,A,B,B,A,A,A,B,A,A,A,B,'ABAIXO DA M�DIA'
A,B,H,D,B,B,B,B,B,A,A,A,B,B,D,F,A,B,G,A,A,A,G,A,A,B,A,A,A,A,A,C,A,C,A,C,C,B,C,E,B,B,A,C,A,A,B,A,B,A,C,'ABAIXO DA M�DIA'
A,F,E,D,B,B,B,B,A,B,B,A,A,B,C,C,A,B,F,A,A,A,G,A,A,A,A,A,A,A,A,C,C,B,A,A,C,A,B,D,A,B,A,C,A,B,?,C,C,A,C,'ABAIXO DA M�DIA'
B,B,J,D,D,B,C,D,A,D,A,A,A,C,D,E,A,A,C,A,A,A,C,A,A,A,A,A,A,A,A,C,B,B,A,B,B,A,B,C,A,B,B,C,A,A,A,A,A,A,C,'ABAIXO DA M�DIA'
A,F,B,C,B,B,B,B,B,A,A,B,B,B,C,D,A,C,G,B,A,A,G,A,B,B,A,A,A,A,A,C,C,C,B,C,C,C,C,B,E,B,B,A,A,B,A,A,A,A,C,'ABAIXO DA M�DIA'
A,D,L,D,C,E,B,B,B,A,A,A,B,B,C,D,A,A,G,A,A,A,D,A,A,A,A,A,A,A,A,?,A,B,?,C,A,B,C,D,D,B,C,A,B,A,A,A,A,A,C,'ABAIXO DA M�DIA'
B,A,D,D,C,B,C,B,B,A,A,A,B,B,D,D,A,A,G,A,A,C,G,A,A,A,A,A,A,A,A,C,A,B,A,A,B,A,B,B,C,B,A,B,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
B,B,L,D,C,B,C,C,B,B,B,A,D,C,C,D,A,A,E,A,A,A,F,A,A,A,A,A,A,A,A,B,A,C,A,B,C,A,A,B,B,B,A,C,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
A,B,C,C,C,B,B,B,B,A,B,A,A,B,D,F,A,A,G,B,B,A,C,A,A,B,A,A,A,A,B,C,C,C,B,B,C,C,C,A,B,B,A,C,A,A,B,A,B,A,B,'ABAIXO DA M�DIA'
A,B,I,D,C,B,C,B,B,B,A,A,A,B,B,E,A,A,C,A,A,A,G,A,B,B,A,A,A,A,A,B,B,C,B,C,C,C,C,A,C,B,C,A,A,A,B,A,B,A,C,'ABAIXO DA M�DIA'
A,B,K,C,B,B,B,B,A,A,A,A,A,B,C,D,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,?,?,?,B,?,B,?,?,B,A,B,B,C,A,A,B,B,A,A,B,'ABAIXO DA M�DIA'
A,B,L,D,B,B,E,B,B,A,B,B,A,D,D,F,A,A,F,A,A,A,F,A,A,A,A,A,A,A,A,?,A,?,A,?,A,B,A,E,D,A,D,A,A,A,A,A,A,A,A,'ABAIXO DA M�DIA'
B,B,B,C,E,D,B,B,B,A,B,C,B,C,E,F,A,B,G,A,A,B,G,A,A,B,A,A,A,A,B,C,B,A,B,C,C,C,C,A,A,B,B,C,A,A,A,A,A,A,C,'ABAIXO DA M�DIA'
B,F,H,D,D,C,D,C,C,A,B,A,C,C,D,F,A,A,E,A,A,B,E,A,A,A,A,A,A,A,A,C,A,B,B,A,B,A,B,B,A,B,A,C,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
B,B,I,D,C,A,C,C,B,B,B,C,C,C,D,D,A,A,F,A,A,A,E,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,C,D,A,A,C,A,A,A,A,A,A,C,'ABAIXO DA M�DIA'
A,B,F,D,D,E,C,C,C,B,B,A,B,B,C,E,A,B,E,A,B,B,C,A,B,B,A,A,A,A,B,B,C,C,B,C,C,B,C,B,E,B,C,A,A,A,B,A,B,A,C,'ABAIXO DA M�DIA'
