ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_ALUNO,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,ESTRATO_ANEB,PESO_ALUNO_LP,PROFICIENCIA_LP,PROFICIENCIA_LP_SAEB,DESVIO_PADRAO_LP_SAEB,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q017,TX_RESP_Q029,TX_RESP_Q057,'RESULTADO IDEB',CONDICAO
2,27044289,3,1,604386,1,17847727,ACCDCDABBBDAB,ABCCBCDDACCDD,CCCDBCADDBDBB,CBBDAADADBCBC,270915231,1.088.235.294.100.000,-1.238.505.000.000.000,181.751.585.000.000.000,25.973.325.000.000.000,B,K,C,A,A,B,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847728,BDAACDCDBCBBD,DAABBBAADDADD,ACDDABBAAAABC,DBBDDBAADACAB,270915231,1.088.235.294.100.000,-1.113.623.000.000.000,188.631.754.000.000.000,26.230.446.000.000.000,?,?,?,?,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847729,.............,.............,.............,.............,270915231,?,?,?,?,?,?,?,?,?,?,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847730,DBBDBCDDDBACA,CABACDCACCADB,ACADBABCADBBC,CCCDDCCCCBCCC,270915231,1.088.235.294.100.000,1.258.580.000.000.000,319.324.395.000.000.000,18.745.241.000.000.000,E,G,C,A,A,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847731,CBBDBDCACCABD,BADDDCBBBDCDA,CDBDBBADDCCCD,CACBAAAADCBDC,270915231,1.088.235.294.100.000,0.098819000000000,255.429.261.000.000.000,19.556.216.000.000.000,C,I,C,A,A,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847732,DBAABCBBDCCDA,BCBACDCCADCDB,ACDCACAACBBBA,BCBADBCCBCBAC,270915231,1.088.235.294.100.000,0.139668000000000,257.679.770.000.000.000,18.827.771.000.000.000,B,C,B,A,A,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847733,CCABACBBBCCDB,BABADCCADADDA,DAABDBAACBCCA,AACBACAAAADAA,270915231,1.088.235.294.100.000,0.093119000000000,255.115.229.000.000.000,19.144.338.000.000.000,A,C,D,A,A,D,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847734,BDAADCCADDDDC,BACDAACDBAADB,BDBCBCABBBDCA,AABCBABCBAADC,270915231,1.088.235.294.100.000,0.513179000000000,278.257.747.000.000.000,21.894.598.000.000.000,B,E,B,A,A,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847735,CBABACDDABCBA,BCABCDACCDCDC,DDABBCBDACBCC,BABBABDDBADCC,270915231,1.088.235.294.100.000,0.122638000000000,256.741.530.000.000.000,15.829.811.000.000.000,B,L,C,A,A,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847736,CADACDCACBBDD,BCADBCBBBCBDA,CCADACCDCBADC,ACDCBCAACCBCD,270915231,1.088.235.294.100.000,1.334.795.000.000.000,323.523.335.000.000.000,20.789.040.000.000.000,F,J,B,A,A,A,4.8,'ABAIXO DA MEDIA'
