ID_AREA,ID_DEPENDENCIA_ADM,PROFICIENCIA_LP,TX_RESP_Q027,TX_RESP_Q051,'CLASSIFICADOR IDEB'
1,3,-186.044,A,B,'ACIMA DA M?DIA '
1,3,0.884809,A,D,'ACIMA DA M?DIA '
1,3,-2.155.031,A,C,'ACIMA DA M?DIA '
1,3,-1.272.902,A,D,'ACIMA DA M?DIA '
1,3,-0.917524,B,D,'ACIMA DA M?DIA '
1,3,-0.655469,A,C,'ACIMA DA M?DIA '
1,3,0.997401,A,C,'ACIMA DA M?DIA '
1,3,-2.347.136,A,D,'ACIMA DA M?DIA '
1,3,-0.618045,A,D,'ACIMA DA M?DIA '
1,3,-0.321733,A,D,'ACIMA DA M?DIA '
1,3,-156.469,A,D,'ACIMA DA M?DIA '
1,3,-0.562331,A,A,'ACIMA DA M?DIA '
1,3,-0.284814,A,D,'ACIMA DA M?DIA '
1,3,-0.403345,A,C,'ACIMA DA M?DIA '
1,3,-1.065.177,A,D,'ACIMA DA M?DIA '
1,3,-134.144,A,D,'ACIMA DA M?DIA '
1,3,-0.14281,A,D,'ACIMA DA M?DIA '
1,3,-0.866098,A,C,'ACIMA DA M?DIA '
1,3,-0.122455,A,D,'ACIMA DA M?DIA '
1,3,0.037774,A,D,'ACIMA DA M?DIA '
1,3,-0.667188,A,D,'ACIMA DA M?DIA '
1,3,-0.306325,A,D,'ACIMA DA M?DIA '
1,3,0.427851,A,D,'ACIMA DA M?DIA '
1,3,-1.902.138,A,D,'ACIMA DA M?DIA '
1,3,-0.640761,A,D,'ACIMA DA M?DIA '
1,3,-1.504.143,A,D,'ACIMA DA M?DIA '
1,3,-0.033661,A,D,'ACIMA DA M?DIA '
1,3,-0.233839,A,D,'ACIMA DA M?DIA '
1,3,-0.034221,A,D,'ACIMA DA M?DIA '
1,3,-0.630481,A,D,'ACIMA DA M?DIA '
1,3,-1.547.293,A,D,'ACIMA DA M?DIA '
1,3,-1.010.537,A,D,'ACIMA DA M?DIA '
1,3,-1.265.711,A,D,'ACIMA DA M?DIA '
1,3,-0.737474,A,D,'ACIMA DA M?DIA '
1,3,-0.533622,A,D,'ACIMA DA M?DIA '
1,3,-1.873.816,A,D,'ACIMA DA M?DIA '
1,3,-0.63378,A,D,'ACIMA DA M?DIA '
1,3,-0.590094,A,D,'ACIMA DA M?DIA '
1,3,-1.319.847,A,D,'ACIMA DA M?DIA '
1,3,-1.373.834,A,D,'ACIMA DA M?DIA '
1,3,-0.154738,A,D,'ACIMA DA M?DIA '
1,3,0.144355,A,D,'ACIMA DA M?DIA '
1,3,-1.196.172,A,C,'ACIMA DA M?DIA '
1,3,-0.876431,A,D,'ACIMA DA M?DIA '
1,3,-1.310.216,A,C,'ACIMA DA M?DIA '
1,3,0.223291,A,D,'ACIMA DA M?DIA '
1,3,-1.796.216,A,D,'ACIMA DA M?DIA '
1,3,-0.913832,A,D,'ACIMA DA M?DIA '
1,3,-186.255,A,D,'ACIMA DA M?DIA '
1,3,-0.300162,A,D,'ACIMA DA M?DIA '
1,3,-1.093.079,A,D,'ACIMA DA M?DIA '
1,3,-0.055431,A,D,'ACIMA DA M?DIA '
1,3,-1.614.286,A,D,'ACIMA DA M?DIA '
1,3,-0.590164,A,D,'ACIMA DA M?DIA '
1,3,-1.081.811,A,D,'ACIMA DA M?DIA '
1,3,-0.672179,A,D,'ACIMA DA M?DIA '
1,3,0.968717,A,D,'ACIMA DA M?DIA '
1,3,-1.598.097,A,D,'ACIMA DA M?DIA '
1,3,-0.168301,A,C,'ACIMA DA M?DIA '
1,3,0.871533,A,C,'ACIMA DA M?DIA '
1,3,-2.008.532,A,D,'ACIMA DA M?DIA '
1,3,-0.339261,A,D,'ACIMA DA M?DIA '
1,3,-1.127.806,A,C,'ACIMA DA M?DIA '
1,3,-0.547984,A,D,'ACIMA DA M?DIA '
1,3,-0.309411,A,D,'ACIMA DA M?DIA '
1,3,-0.937784,A,D,'ACIMA DA M?DIA '
1,3,-1.580.744,A,D,'ACIMA DA M?DIA '
1,3,-0.283943,A,D,'ACIMA DA M?DIA '
1,3,-176.684,A,B,'ACIMA DA M?DIA '
1,3,-0.507127,A,D,'ACIMA DA M?DIA '
1,3,-0.502714,A,D,'ACIMA DA M?DIA '
1,3,-0.626497,A,D,'ACIMA DA M?DIA '
1,3,-1.531.169,A,D,'ACIMA DA M?DIA '
1,3,-2.065.928,A,D,'ACIMA DA M?DIA '
1,3,-0.683463,A,D,'ACIMA DA M?DIA '
1,3,-0.264649,A,D,'ACIMA DA M?DIA '
1,3,-0.155682,A,D,'ACIMA DA M?DIA '
1,3,-0.697933,A,D,'ACIMA DA M?DIA '
1,3,-1.064.626,A,D,'ACIMA DA M?DIA '
1,3,-0.260575,A,B,'ACIMA DA M?DIA '
1,3,-1.546.486,A,D,'ACIMA DA M?DIA '
1,3,-1.252.701,A,C,'ACIMA DA M?DIA '
1,3,-1.070.267,A,C,'ACIMA DA M?DIA '
1,3,0.196999,A,D,'ACIMA DA M?DIA '
1,3,-0.533696,A,B,'ACIMA DA M?DIA '
1,3,-1.725.204,A,B,'ACIMA DA M?DIA '
1,3,-1.177.654,A,A,'ACIMA DA M?DIA '
1,3,0.260573,A,D,'ACIMA DA M?DIA '
1,3,-0.115275,A,D,'ACIMA DA M?DIA '
1,3,-0.383248,A,A,'ACIMA DA M?DIA '
1,3,-1.230.347,A,C,'ACIMA DA M?DIA '
1,3,-138.307,A,D,'ACIMA DA M?DIA '
1,3,-0.784247,A,D,'ACIMA DA M?DIA '
1,3,-0.286312,A,D,'ACIMA DA M?DIA '
1,3,-0.538801,A,C,'ACIMA DA M?DIA '
1,3,-0.182251,A,C,'ACIMA DA M?DIA '
1,3,0.072339,A,D,'ACIMA DA M?DIA '
1,3,-0.262366,A,D,'ACIMA DA M?DIA '
1,3,-163.132,A,D,'ACIMA DA M?DIA '
1,3,-0.60904,A,B,'ACIMA DA M?DIA '
1,3,-0.995735,A,C,'ACIMA DA M?DIA '
1,3,-0.38922,A,B,'ACIMA DA M?DIA '
1,3,-1.171.964,A,C,'ACIMA DA M?DIA '
1,3,0.596896,A,D,'ACIMA DA M?DIA '
1,3,-182.997,A,B,'ACIMA DA M?DIA '
1,3,-0.909362,A,C,'ACIMA DA M?DIA '
1,3,-1.459.625,A,C,'ACIMA DA M?DIA '
1,3,-0.124124,A,B,'ACIMA DA M?DIA '
1,3,-0.469024,A,B,'ACIMA DA M?DIA '
1,3,-0.228595,A,A,'ACIMA DA M?DIA '
1,3,-1.154.704,A,C,'ACIMA DA M?DIA '
1,3,0.038449,A,D,'ACIMA DA M?DIA '
1,3,-1.778.931,A,B,'ACIMA DA M?DIA '
1,3,-0.808343,A,D,'ACIMA DA M?DIA '
1,3,-0.357223,A,D,'ACIMA DA M?DIA '
1,3,1.488.824,A,C,'ACIMA DA M?DIA '
1,3,-0.295672,A,C,'ACIMA DA M?DIA '
1,3,-0.226039,A,B,'ACIMA DA M?DIA '
1,3,-2.082.757,A,A,'ACIMA DA M?DIA '
1,3,-1.133.425,A,C,'ACIMA DA M?DIA '
1,3,-1.593.401,A,C,'ACIMA DA M?DIA '
1,3,-1.663.959,A,B,'ACIMA DA M?DIA '
1,3,-2.259.404,A,D,'ACIMA DA M?DIA '
1,3,-0.954011,A,C,'ACIMA DA M?DIA '
1,3,-0.275615,A,C,'ACIMA DA M?DIA '
1,3,0.319796,A,A,'ACIMA DA M?DIA '
