Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Arrecadacao_Total,Ganhadores_15_N·meros,Cidade,UF,Ganhadores_14_N·meros,Ganhadores_13_N·meros,Ganhadores_12_N·meros,Ganhadores_11_N·meros,Valor_Rateio_15_N·meros,Valor_Rateio_14_N·meros,Valor_Rateio_13_N·meros,Valor_Rateio_12_N·meros,Valor_Rateio_11_N·meros,Acumulado_15_N·meros,Estimativa_Premio,Valor_Acumulado_Especial,outros1,outros2
11,13,18,10,25,23,16,1,14,2,19,21,12,9,20,0,2,CAMPINAS,SP,484,20047,292261,1619598,848.830,45,1.503,24,10,4,2,0,0,0
14,20,5,11,9,23,18,17,6,13,25,15,7,12,10,0,3,MOCOCA,SP,498,18606,280170,1592727,569.686,18,1.470,79,10,4,2,0,0,0
24,15,21,22,18,4,14,13,19,6,12,2,23,8,5,0,4,FRANCA,RS,660,35222,301415,1520411,357.319,0,928,1,10,4,2,0,0,0
15,1,21,22,9,4,18,6,24,20,23,11,8,10,17,0,1,S?O PAULO,BA,370,20989,223234,1259823,1.663.143,71,1.926,43,10,4,2,0,0,0
3,8,19,7,20,16,15,13,12,11,1,24,18,21,5,0,2,5,DF,758,25198,303361,1549722,746.715,1,844,38,10,4,2,0,0,0
17,24,25,23,7,2,4,5,11,10,9,1,18,16,12,0,3,CHAPAD?O DO CEU,PE,830,27637,298499,1491043,492.515,31,760,4,10,4,2,0,0,0
5,22,2,10,13,15,9,20,4,25,1,18,23,17,8,0,8,S?O MIGUEL DO GUAMA,PR,1291,32778,368045,1643408,136.137,23,360,18,10,4,2,0,0,0
20,13,21,6,18,5,4,7,17,24,19,12,23,11,22,0,4,LONDRINA,RS,670,18123,225258,1346974,422.565,92,1.081,20,10,4,2,0,0,0
19,9,2,6,24,7,20,16,15,3,25,14,4,18,21,0,2,S?O PAULO,SP,396,15090,194421,1186925,1.036.561,2,2.243,64,10,4,2,0,0,0
10,22,7,6,12,16,11,21,4,9,24,3,2,25,15,0,2,0,MT,395,13621,188288,1269512,1.047.965,76,2.274,7,10,4,2,0,0,0
7,22,18,8,13,25,16,1,21,4,24,14,3,2,6,0,0,7,RJ,493,18073,245449,1428758,0,1.516,70,10,4,2,1.744.710,64,0,0
5,25,4,1,13,2,12,18,22,19,23,7,3,10,11,0,5,S?O LU?S DO CURU,SP,633,26537,226287,1209770,519.339,50,574,65,10,4,2,0,0,0
17,2,14,21,3,23,6,15,13,11,4,16,19,25,20,0,2,CAMPINAS,SP,422,18165,257399,1512543,830.452,68,1.686,77,10,4,2,0,0,0
5,11,9,22,6,21,7,19,2,20,15,23,18,25,13,0,3,HORTOL?NDIA,BA,907,38023,333579,1684780,448.986,1,634,5,10,4,2,0,0,0
15,19,6,4,24,2,17,25,13,23,10,12,5,3,9,0,3,S?O PAULO,DF,952,29720,362203,1689512,417.614,17,561,87,10,4,2,0,0,0
2,25,20,12,5,7,6,11,13,19,8,4,15,22,23,0,1,S?O PAULO,MG,660,23967,320580,1600418,1.341.544,37,871,13,10,4,2,0,0,0
9,25,14,11,7,15,1,22,16,4,5,17,3,10,23,0,10,Sorocaba,RS,792,26452,340872,1584197,135.976,17,733,1,10,4,2,0,0,0
18,22,9,3,15,20,8,21,4,19,13,1,11,23,5,0,5,2,SC,895,32294,385069,1862691,217.132,17,517,9,10,4,2,0,0,0
12,16,5,7,11,19,8,25,22,17,14,1,3,10,13,0,4,BELO HORIZONTE,SP,1345,32243,321650,1628816,325.378,91,413,15,10,4,2,0,0,0
7,22,13,2,21,14,19,8,1,25,20,10,15,18,5,0,7,2,SP,775,20815,253415,1441124,234.154,46,906,41,10,4,2,0,0,0
1,2,23,12,17,21,5,22,9,15,24,14,13,6,3,0,2,CRUZEIRO,SP,329,14555,238514,1255488,671.843,75,1.750,35,10,4,2,0,0,0
18,6,19,25,11,8,17,20,16,10,2,21,12,9,13,0,2,1,SP,313,12648,221694,1259615,937.816,37,2.568,19,10,4,2,0,0,0
15,7,16,17,8,24,22,2,3,13,11,5,21,25,4,0,3,5,DF,464,18695,250239,1503282,476.718,72,1.320,96,10,4,2,0,0,0
22,24,23,12,1,15,7,14,21,16,17,2,9,18,19,0,1,TAIL?NDIA,RS,443,18564,247145,1370404,1.596.786,85,1.544,78,10,4,2,0,0,0
12,10,19,1,25,22,15,6,2,24,13,20,9,18,3,0,7,GUARULHOS,RS,787,22971,268181,1413296,210.217,72,801,34,10,4,2,0,0,0
18,12,19,3,8,17,13,1,25,20,10,16,9,24,7,0,2,PIRACICABA,SP,471,17588,247734,1532701,793.662,96,1.444,34,10,4,2,0,0,0
1,18,19,5,23,7,6,16,17,24,15,9,22,4,2,0,1,S?O PAULO,SP,373,15636,246926,1364705,1.692.224,96,1.944,35,10,4,2,0,0,0
21,11,22,9,24,8,17,15,25,1,16,23,13,19,2,0,5,8,SP,677,29324,326923,1643883,201.113,36,634,16,10,4,2,0,0,0
12,17,1,2,21,4,14,22,9,24,20,7,19,11,25,0,36,BEL?M,MS,3305,39042,295178,1379832,35.936,80,167,14,10,4,2,0,0,0
14,15,20,22,13,10,25,11,18,9,24,2,3,1,17,0,3,INGA,MS,815,30436,317461,1442001,395.268,82,621,2,10,4,2,0,0,0
17,22,12,2,11,5,24,10,14,13,25,16,1,23,8,0,6,RIO DE JANEIRO,MG,557,21375,302776,1519562,219.758,40,1.014,53,10,4,2,0,0,0
2,5,12,13,21,23,22,11,1,10,6,25,4,19,16,0,3,S?O PAULO,MG,624,25125,278315,1546507,472.583,65,973,73,10,4,2,0,0,0
5,22,24,2,1,12,8,21,16,25,20,9,13,4,17,0,17,S?O PAULO,PA,1024,23278,276551,1552055,84.381,14,598,9,10,4,2,0,0,0
24,19,2,17,16,9,25,5,20,18,13,10,15,23,7,0,5,S?O PAULO,SP,616,22974,303309,1711630,235.870,42,820,52,10,4,2,0,0,0
21,7,11,5,8,19,1,25,6,22,24,14,23,9,3,0,1,S?O PAULO,DF,333,15291,253716,1446824,1.641.679,38,2.112,84,10,4,2,0,0,0
18,10,13,11,3,9,12,4,23,7,24,16,14,5,20,0,5,3,DF,626,23014,277803,1417099,333.476,48,1.141,52,10,4,2,0,0,0
23,3,25,6,19,22,24,15,7,17,8,13,20,4,5,0,3,S?O PAULO,SP,749,23507,300483,1517767,435.453,14,744,65,10,4,2,0,0,0
13,21,5,25,8,20,23,12,11,4,1,18,2,24,17,0,8,S?O PAULO,SP,958,30251,365810,1713398,130.468,18,465,16,10,4,2,0,0,0
18,9,16,5,15,24,23,10,1,11,14,6,13,3,2,0,1,3,BA,604,27326,262834,1558936,1.415.829,77,1.004,61,10,4,2,0,0,0
15,10,16,14,8,11,19,2,21,20,18,4,5,22,24,0,0,RIO DE JANEIRO,MT,559,22378,250331,1242889,0,1.352,92,10,4,2,1.764.652,94,0,0
3,8,9,15,13,10,12,4,23,20,22,1,19,11,14,0,7,S?O PAULO,PA,606,23142,344899,1779082,544.973,94,1.449,91,10,4,2,0,0,0
10,14,2,18,25,9,21,7,24,1,16,6,4,12,19,0,9,1,PE,1164,27968,294624,1457786,184.264,18,608,27,10,4,2,0,0,0
11,15,22,17,12,23,2,7,16,18,19,9,20,10,8,0,2,3,PR,379,14044,227436,1333606,903.537,47,2.043,43,10,4,2,0,0,0
11,2,1,3,17,15,25,10,24,14,4,6,8,5,20,0,2,Ribeir?o Preto,RJ,699,23036,296027,1584286,703.307,50,862,43,10,4,2,0,0,0
15,14,3,12,16,24,19,21,20,17,10,4,9,1,11,0,3,SOCORRO,RJ,343,15261,208539,1221736,597.551,18,2.239,89,10,4,2,0,1.800.000,0
